vendorId,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1.0,2019-01-06 15:04:38.000000,2019-01-06 15:13:28.000000,1.0,1.9,1.0,N,43.0,162.0,2.0,8.5,0.0,0.5,0.0,0.0,0.3,9.3,
1.0,2019-01-06 15:14:50.000000,2019-01-06 15:27:30.000000,1.0,1.6,1.0,N,162.0,186.0,2.0,9.5,0.0,0.5,0.0,0.0,0.3,10.3,
1.0,2019-01-06 15:32:53.000000,2019-01-06 15:46:50.000000,1.0,2.3,1.0,N,68.0,231.0,1.0,11.5,0.0,0.5,2.45,0.0,0.3,14.75,
1.0,2019-01-06 15:49:36.000000,2019-01-06 16:01:57.000000,1.0,2.1,1.0,N,231.0,79.0,1.0,10.5,0.0,0.5,2.25,0.0,0.3,13.55,
2.0,2019-01-06 15:57:15.000000,2019-01-06 16:28:38.000000,1.0,9.3,1.0,N,163.0,138.0,1.0,32.0,0.0,0.5,6.56,0.0,0.3,39.36,
2.0,2019-01-06 15:07:33.000000,2019-01-06 15:16:52.000000,1.0,1.27,1.0,N,186.0,249.0,1.0,7.5,0.0,0.5,1.66,0.0,0.3,9.96,
2.0,2019-01-06 15:20:44.000000,2019-01-06 15:30:32.000000,1.0,1.44,1.0,N,249.0,79.0,1.0,8.0,0.0,0.5,1.76,0.0,0.3,10.56,
2.0,2019-01-06 15:37:33.000000,2019-01-06 15:43:11.000000,1.0,0.84,1.0,N,4.0,148.0,1.0,5.5,0.0,0.5,0.0,0.0,0.3,6.3,
2.0,2019-01-06 15:51:25.000000,2019-01-06 15:54:26.000000,1.0,0.5,1.0,N,79.0,79.0,1.0,4.0,0.0,0.5,1.0,0.0,0.3,5.8,
1.0,2019-01-06 15:47:16.000000,2019-01-06 16:06:53.000000,1.0,4.8,1.0,N,138.0,95.0,2.0,19.5,0.0,0.5,0.0,0.0,0.3,20.3,
2.0,2019-01-06 15:22:42.000000,2019-01-06 15:27:55.000000,1.0,0.84,1.0,N,142.0,239.0,1.0,5.5,0.0,0.5,0.94,0.0,0.3,7.24,
2.0,2019-01-06 15:52:26.000000,2019-01-06 15:58:41.000000,1.0,0.85,1.0,N,41.0,42.0,1.0,6.0,0.0,0.5,1.7,0.0,0.3,8.5,
2.0,2019-01-06 16:00:52.000000,2019-01-06 16:41:13.000000,1.0,7.54,1.0,N,42.0,90.0,2.0,30.0,0.0,0.5,0.0,0.0,0.3,30.8,
2.0,2019-01-06 15:23:43.000000,2019-01-06 16:02:58.000000,1.0,7.41,1.0,N,255.0,236.0,1.0,30.0,0.0,0.5,3.08,0.0,0.3,35.83,
1.0,2019-01-06 15:15:51.000000,2019-01-06 15:25:02.000000,1.0,1.4,1.0,N,161.0,164.0,2.0,7.5,0.0,0.5,0.0,0.0,0.3,8.3,
1.0,2019-01-06 15:50:13.000000,2019-01-06 16:17:44.000000,1.0,4.3,1.0,N,48.0,107.0,1.0,19.5,0.0,0.5,0.7,0.0,0.3,21.0,
1.0,2019-01-06 15:44:10.000000,2019-01-06 16:12:44.000000,1.0,9.2,1.0,N,138.0,229.0,2.0,30.5,0.0,0.5,0.0,5.76,0.3,37.06,
2.0,2019-01-06 15:01:46.000000,2019-01-06 15:10:04.000000,6.0,0.93,1.0,N,141.0,229.0,2.0,6.5,0.0,0.5,0.0,0.0,0.3,7.3,
2.0,2019-01-06 15:22:46.000000,2019-01-06 15:30:55.000000,6.0,1.26,1.0,N,137.0,90.0,1.0,7.0,0.0,0.5,0.78,0.0,0.3,8.58,
2.0,2019-01-06 15:52:25.000000,2019-01-06 16:04:05.000000,6.0,1.85,1.0,N,100.0,43.0,1.0,9.5,0.0,0.5,2.06,0.0,0.3,12.36,
2.0,2019-01-06 15:12:10.000000,2019-01-06 15:19:05.000000,2.0,1.35,1.0,N,186.0,163.0,2.0,7.0,0.0,0.5,0.0,0.0,0.3,7.8,
2.0,2019-01-06 15:25:38.000000,2019-01-06 15:32:56.000000,2.0,1.32,1.0,N,161.0,237.0,1.0,7.5,0.0,0.5,1.66,0.0,0.3,9.96,
2.0,2019-01-06 15:41:19.000000,2019-01-06 15:49:05.000000,2.0,0.6,1.0,N,263.0,236.0,2.0,6.0,0.0,0.5,0.0,0.0,0.3,6.8,
2.0,2019-01-06 15:52:59.000000,2019-01-06 15:57:03.000000,2.0,0.63,1.0,N,236.0,75.0,1.0,5.0,0.0,0.5,0.87,0.0,0.3,6.67,
2.0,2019-01-06 15:06:59.000000,2019-01-06 15:12:38.000000,1.0,1.16,1.0,N,48.0,246.0,2.0,6.0,0.0,0.5,0.0,0.0,0.3,6.8,
2.0,2019-01-06 15:20:03.000000,2019-01-06 15:22:44.000000,1.0,0.55,1.0,N,68.0,246.0,1.0,4.0,0.0,0.5,1.2,0.0,0.3,6.0,
2.0,2019-01-06 15:40:35.000000,2019-01-06 15:49:29.000000,1.0,1.09,1.0,N,161.0,229.0,1.0,7.5,0.0,0.5,1.66,0.0,0.3,9.96,
2.0,2019-01-06 15:34:41.000000,2019-01-06 15:57:56.000000,1.0,8.78,1.0,N,138.0,244.0,1.0,26.0,0.0,0.5,6.51,5.76,0.3,39.07,
2.0,2019-01-06 15:36:38.000000,2019-01-06 16:12:17.000000,5.0,12.3,1.0,N,132.0,49.0,1.0,38.0,0.0,0.5,5.0,0.0,0.3,43.8,
2.0,2019-01-06 15:26:28.000000,2019-01-06 15:30:15.000000,2.0,0.32,1.0,N,246.0,50.0,1.0,4.5,0.0,0.5,1.06,0.0,0.3,6.36,
2.0,2019-01-06 15:32:49.000000,2019-01-06 15:45:00.000000,2.0,0.68,1.0,N,48.0,230.0,1.0,8.5,0.0,0.5,1.86,0.0,0.3,11.16,
1.0,2019-01-06 15:45:46.000000,2019-01-06 16:06:36.000000,2.0,2.3,1.0,N,113.0,48.0,2.0,12.0,0.0,0.5,0.0,0.0,0.3,12.8,
2.0,2019-01-06 15:01:06.000000,2019-01-06 15:16:21.000000,1.0,2.38,1.0,N,162.0,262.0,2.0,12.0,0.0,0.5,0.0,0.0,0.3,12.8,
1.0,2019-01-06 15:08:10.000000,2019-01-06 15:26:47.000000,1.0,2.7,1.0,N,41.0,238.0,1.0,14.0,0.0,0.5,2.95,0.0,0.3,17.75,
1.0,2019-01-06 15:32:21.000000,2019-01-06 15:39:42.000000,2.0,1.2,1.0,N,239.0,143.0,1.0,7.0,0.0,0.5,1.95,0.0,0.3,9.75,
1.0,2019-01-06 15:41:37.000000,2019-01-06 15:51:43.000000,1.0,1.5,1.0,N,143.0,238.0,1.0,8.0,0.0,0.5,1.75,0.0,0.3,10.55,
1.0,2019-01-06 15:56:01.000000,2019-01-06 16:25:06.000000,1.0,5.5,1.0,N,239.0,179.0,1.0,22.5,0.0,0.5,4.65,0.0,0.3,27.95,
2.0,2019-01-06 15:21:42.000000,2019-01-06 15:26:39.000000,1.0,0.87,1.0,N,113.0,68.0,1.0,5.5,0.0,0.5,1.89,0.0,0.3,8.19,
2.0,2019-01-06 15:09:45.000000,2019-01-06 15:34:03.000000,2.0,3.75,1.0,N,186.0,232.0,1.0,18.0,0.0,0.5,3.76,0.0,0.3,22.56,
